range,ranging_attempt_count,ranging_time_millisecond
1.40,50,53
1.88,211,218
1.98,158,163
2.03,158,163
1.93,266,274
1.21,481,495
1.18,212,219
0.85,158,163
0.74,266,274
0.86,49,52
0.96,50,53
0.87,158,163
0.85,104,108
0.82,157,162
1.14,266,274
1.21,50,53
1.54,537,552
1.85,266,274
2.00,157,162
2.17,591,608
2.30,50,53
2.37,50,53
2.11,320,330
2.08,50,53
2.23,320,330
1.95,699,718
1.91,212,219
2.22,159,165
2.14,1240,1273
2.11,319,329
1.85,320,330
1.79,429,441
1.71,266,274
1.57,49,52
1.38,483,497
1.37,158,163
1.37,537,552
1.30,374,385
1.34,49,52
0.82,753,774
0.98,49,52
0.80,104,108
0.99,104,108
0.88,49,52
1.06,50,53
0.98,104,108
1.25,374,386
1.05,373,384
1.45,752,774
1.45,50,53
1.41,50,53
1.44,50,53
1.39,50,53
1.34,104,108
1.22,212,219
1.15,643,662
1.12,158,164
1.01,50,53
1.23,482,496
0.84,266,275
0.79,212,219
1.87,589,606
1.63,104,108
1.67,49,52
2.10,590,607
1.58,590,607
1.49,49,52
1.50,50,53
1.35,1077,1108
1.41,157,163
1.44,50,53
1.18,266,275
1.18,50,53
1.22,50,53
1.29,50,53
1.33,212,219
1.39,49,52
1.38,50,53
1.35,104,108
1.39,50,53
1.17,212,219
0.90,535,551
0.90,104,108
0.76,158,164
0.89,50,53
1.61,374,386
1.76,481,495
1.79,50,53
1.98,374,386
1.94,374,386
1.81,103,107
1.62,374,386
1.64,211,218
1.65,104,108
1.67,157,163
1.68,266,275
1.67,50,53
1.68,212,219
1.60,589,606
1.66,158,164
1.41,158,164
1.43,104,108
1.46,49,52
1.34,212,219
1.33,265,274
1.41,104,108
1.39,590,607
1.42,103,107
1.59,265,274
1.54,158,164
1.49,158,164
1.47,590,607
1.54,374,386
1.65,266,275
1.53,373,385
1.49,482,496
1.55,50,53
1.64,266,275
1.92,482,496
1.90,49,52
2.09,158,164
2.05,158,164
2.03,50,53
2.71,158,164
2.53,104,108
1.75,373,384
1.53,482,496
1.56,104,108
1.54,265,274
1.55,104,108
1.55,104,108
1.53,49,52
1.52,50,53
1.53,266,275
1.53,49,52
1.53,374,386
1.42,50,53
1.46,50,53
1.28,104,108
1.23,266,275
1.47,374,386
1.63,157,163
1.87,482,496
1.86,104,108
1.80,157,163
1.55,266,275
1.29,320,330
1.28,104,108
1.34,103,107
1.32,104,108
1.65,373,385
1.64,49,52
1.68,50,53
1.71,266,275
1.61,50,53
1.68,590,607
1.60,266,275
1.54,104,108
1.43,49,52
1.44,104,108
1.51,49,52
1.57,212,219
1.63,50,53
1.70,590,607
1.64,49,52
1.52,158,164
1.47,104,108
1.38,49,52
1.18,857,882
1.17,373,384
1.61,265,274
1.57,103,107
1.72,49,52
1.69,266,275
1.43,49,52
1.34,965,992
1.58,212,219
1.68,103,107
1.71,49,52
1.89,158,164
1.93,104,108
1.89,49,52
1.74,104,108
2.25,103,107
1.72,104,108
1.81,103,107
2.86,49,52
2.85,158,164
1.84,265,274
1.84,50,53
1.66,158,164
1.19,265,274
1.06,104,108
0.96,49,52
1.17,104,108
1.21,103,107
1.69,805,828
1.59,49,52
1.53,50,53
1.63,50,53
1.91,265,274
2.12,104,108
2.26,750,772
2.45,50,53
2.30,158,164
2.14,158,164
1.79,211,218
1.50,211,218
2.02,49,52
1.39,50,53
1.53,212,219
1.22,49,52
1.06,428,441
1.01,49,52
0.68,104,108
0.44,49,52
0.43,104,108
0.66,103,107
0.75,157,163
1.37,212,219
0.65,49,52
0.59,50,53
0.56,104,108
0.59,49,52
0.47,158,164
0.38,104,108
0.60,480,494
0.30,589,606
0.35,158,164
0.35,211,218
0.59,588,605
0.81,212,219
0.89,265,274
1.03,103,107
1.10,50,53
2.11,211,218
2.06,103,107
2.17,158,164
2.12,373,385
2.11,589,606
1.97,103,107
2.04,157,163
2.10,50,53
2.12,481,495
2.12,50,53
2.15,104,108
2.05,265,274
2.11,373,384
1.93,157,163
1.95,482,496
1.44,589,606
1.40,211,218
1.49,103,107
1.28,157,163
1.21,50,53
1.31,211,218
0.57,643,662
0.98,1182,1215
1.08,104,108
1.03,49,52
0.62,373,385
0.67,50,53
0.60,320,330
0.76,211,218
0.74,103,107
0.35,157,163
0.40,266,274
0.59,266,274
0.54,104,108
0.49,428,441
0.53,103,107
0.55,50,53
0.57,104,108
0.60,157,163
0.58,104,108
0.61,50,53
0.68,104,108
0.61,49,52
0.65,104,108
0.58,103,107
0.88,104,108
0.73,265,273
0.93,212,219
0.99,104,108
1.09,157,163
1.09,104,108
1.06,103,107
1.54,374,385
1.40,103,107
1.69,50,53
1.42,49,52
1.81,105,109
2.37,373,384
2.16,50,53
2.52,104,108
2.26,103,107
2.00,212,219
2.28,698,718
2.27,104,108
2.27,481,495
2.30,158,164
2.21,50,53
2.13,103,107
2.12,158,164
0.90,158,164
2.08,49,52
1.97,104,108
2.06,104,108
1.98,49,52
1.88,375,386
1.81,49,52
1.82,104,108
1.91,212,219
1.92,265,273
1.49,104,108
1.58,49,52
1.56,104,108
1.47,50,53
1.27,157,163
1.19,104,108
1.25,50,53
1.18,104,108
1.10,49,52
0.48,50,53
1.47,50,53
0.74,482,496
0.68,266,274
0.61,158,164
0.50,103,107
0.54,50,53
0.55,374,385
0.58,50,53
1.09,428,441
0.71,374,385
0.76,158,164
0.71,104,108
0.71,49,52
0.56,428,441
0.64,50,53
0.68,50,53
1.49,591,608
0.80,103,107
2.20,536,552
1.90,158,164
2.19,158,164
1.63,266,274
1.37,49,52
1.81,159,165
2.00,49,52
1.55,158,164
1.49,50,53
1.89,50,53
1.90,428,441
1.77,50,53
2.10,374,385
1.97,266,274
1.94,158,164
1.92,266,274
1.89,49,52
1.87,267,275
1.91,103,107
1.85,104,108
1.74,265,273
1.66,158,164
1.47,752,773
1.46,158,164
1.50,103,107
1.28,104,108
0.83,859,883
0.77,50,53
0.86,158,164
0.67,158,164
0.59,536,552
0.98,374,385
0.61,157,163
0.84,807,830
0.82,49,52
0.81,104,108
0.43,428,441
0.21,266,274
0.10,49,52
0.03,104,108
0.11,266,274
0.47,374,385
0.77,374,385
0.66,49,52
0.83,158,164
