3.21,373,385
2.70,158,164
3.76,266,275
3.19,157,163
3.26,319,329
3.21,589,606
3.09,535,551
3.20,372,383
3.20,266,275
3.19,319,329
3.23,103,107
3.29,319,329
3.21,157,163
3.30,50,53
3.34,265,274
3.34,104,108
3.25,157,163
3.19,50,53
3.28,211,218
3.27,104,108
3.25,318,328
2.86,50,53
3.33,534,551
3.20,265,274
3.29,211,218
3.20,157,163
3.36,750,773
3.51,211,218
3.88,211,218
3.57,265,274
3.93,265,274
3.82,157,163
3.94,374,386
3.59,49,52
3.19,157,163
3.84,50,53
3.58,211,218
3.82,104,108
3.38,318,328
3.58,50,53
3.75,427,440
5.33,318,328
3.56,642,662
3.92,158,164
3.96,50,53
3.87,157,163
3.88,158,164
2.96,373,385
